0,1,2,3
GYG2,10,0.37037037037037035,[7]
HIST1H2BH,20,0.36363636363636365,[7]
RTKN2,23,0.3484848484848485,[7]
FANCG,17,0.3469387755102041,[7]
POLE,14,0.32558139534883723,[7]
KCNG1,13,0.325,[7]
PRIM1,26,0.3132530120481928,[7]
APOM,12,0.3,[7]
POLD1,14,0.27450980392156865,[7]
CCDC18,8,0.26666666666666666,[7]
HAUS3,9,0.2647058823529412,[7]
COX15,16,0.25806451612903225,[7]
FAS,12,0.24489795918367346,[7]
HIST1H1D,11,0.24444444444444444,[7]
BIN3,8,0.24242424242424243,[7]
TRAPPC8,8,0.24242424242424243,[7]
CENPJ,12,0.24,[7]
CCDC88C,10,0.23255813953488372,[7]
NEK3,9,0.23076923076923078,[7]
BAIAP2L1,18,0.22784810126582278,[7]
ZNF513,7,0.22580645161290322,[7]
SPAG5,6,0.2222222222222222,[7]
HIST1H4E,4,0.2222222222222222,[7]
NCAPH,11,0.22,[7]
CASC5,7,0.21875,[7]
PBK,16,0.21621621621621623,[7]
HIST2H2AC,15,0.21428571428571427,[7]
LIG1,27,0.2125984251968504,[7]
KIF15,7,0.21212121212121213,[7]
GEMIN4,7,0.21212121212121213,[7]
XKR8,5,0.20833333333333334,[7]
RABGEF1,6,0.20689655172413793,[7]
ZNF184,8,0.20512820512820512,[7]
TMEM143,9,0.20454545454545456,[7]
MANSC1,11,0.2037037037037037,[7]
KIF11,14,0.2028985507246377,[7]
C4orf33,11,0.2,[7]
KHK,7,0.19444444444444445,[7]
SHCBP1,12,0.19047619047619047,[7]
ARHGAP10,4,0.19047619047619047,[7]
PIANP,4,0.19047619047619047,[7]
TACC3,11,0.1896551724137931,[7]
LANCL2,7,0.1891891891891892,[7]
NCAPG2,10,0.18867924528301888,[7]
CDKN1B,9,0.1875,[7]
PDK3,6,0.1875,[7]
DSCC1,6,0.1875,[7]
LRFN3,6,0.1875,[7]
CDT1,14,0.18666666666666668,[7]
NCAPG,5,0.18518518518518517,[7]
ZNF8,9,0.18,[7]
ANKRD27,5,0.17857142857142858,[7]
NDC80,10,0.17543859649122806,[7]
RASSF10,7,0.175,[7]
TRIM59,11,0.1746031746031746,[7]
TMPO-AS1,9,0.17307692307692307,[7]
FBXO5,21,0.1721311475409836,[7]
RASSF1,6,0.17142857142857143,[7]
KIF23,7,0.17073170731707318,[7]
PLPP5,15,0.17045454545454544,[7]
RNMTL1,8,0.1702127659574468,[7]
CEP135,12,0.16901408450704225,[7]
CPSF2,12,0.16901408450704225,[7]
SPICE1,11,0.16666666666666666,[7]
HFE,5,0.16666666666666666,[7]
KCTD21-AS1,4,0.16666666666666666,[7]
PBLD,7,0.16279069767441862,[7]
SPC25,16,0.16161616161616163,[7]
PGM2,5,0.16129032258064516,[7]
CDK1,21,0.16030534351145037,[7]
CDCA5,8,0.16,[7]
BRIP1,8,0.16,[7]
TAF5,4,0.16,[7]
ZNF85,9,0.15789473684210525,[7]
NBPF19,8,0.1568627450980392,[7]
DCPS,8,0.1568627450980392,[7]
ZNF180,5,0.15625,[7]
THOC1,10,0.15384615384615385,[7]
CARNMT1,6,0.15384615384615385,[7]
FAAP24,6,0.15384615384615385,[7]
PYCARD-AS1,4,0.15384615384615385,[7]
ZC3H6,19,0.1532258064516129,[7]
C21orf58,19,0.1532258064516129,[7]
NOL9,7,0.15217391304347827,[7]
ZNF443,5,0.15151515151515152,[7]
BACH2,8,0.1509433962264151,[7]
C1GALT1C1,9,0.15,[7]
EPOR,6,0.15,[7]
LRRC14,3,0.15,[7]
PCK2,8,0.14814814814814814,[7]
CACTIN,4,0.14814814814814814,[7]
FOXM1,14,0.14736842105263157,[7]
TTF2,10,0.14705882352941177,[7]
TSPAN2,5,0.14705882352941177,[7]
RBPMS2,5,0.14705882352941177,[7]
PACSIN2,12,0.14634146341463414,[7]
IER5,6,0.14634146341463414,[7]
DHODH,6,0.14634146341463414,[7]
GTSE1,16,0.14545454545454545,[7]
SC5D,8,0.14545454545454545,[7]
KIF20A,9,0.14285714285714285,[7]
HACL1,7,0.14285714285714285,[7]
UBL7-AS1,7,0.14285714285714285,[7]
MARCH9,6,0.14285714285714285,[7]
RBL1,6,0.14285714285714285,[7]
TMEM94,5,0.14285714285714285,[7]
CXorf23,4,0.14285714285714285,[7]
SGK3,3,0.14285714285714285,[7]
TBKBP1,3,0.14285714285714285,[7]
KATNAL2,3,0.14285714285714285,[7]
FTO,13,0.14130434782608695,[7]
PRKX,12,0.1411764705882353,[7]
UTP23,11,0.14102564102564102,[7]
SLAIN2,10,0.14084507042253522,[7]
GSE1,15,0.14018691588785046,[7]
TSPAN8,6,0.13953488372093023,[7]
CEP55,11,0.13924050632911392,[7]
C10orf88,5,0.1388888888888889,[7]
VPS13D,4,0.13793103448275862,[7]
THBS4,4,0.13793103448275862,[7]
TBX2,4,0.13793103448275862,[7]
C18orf54,4,0.13793103448275862,[7]
PBX4,4,0.13793103448275862,[7]
ZNF790-AS1,4,0.13793103448275862,[7]
POLD3,10,0.136986301369863,[7]
GIN1,3,0.13636363636363635,[7]
HJURP,8,0.13559322033898305,[7]
FOXN2,5,0.13513513513513514,[7]
ERCC3,7,0.1346153846153846,[7]
ZFP30,7,0.1346153846153846,[7]
TBC1D10B,9,0.13432835820895522,[7]
APEX2,12,0.13333333333333333,[7]
COG5,10,0.13333333333333333,[7]
ZBED3-AS1,8,0.13333333333333333,[7]
ZRANB3,6,0.13333333333333333,[7]
NPEPL1,6,0.13333333333333333,[7]
GZF1,4,0.13333333333333333,[7]
HUNK,4,0.13333333333333333,[7]
RBMXL1,13,0.1326530612244898,[7]
SP4,7,0.1320754716981132,[7]
ATP9B,5,0.13157894736842105,[7]
ZNF230,5,0.13157894736842105,[7]
DERL3,5,0.13157894736842105,[7]
AURKB,18,0.13138686131386862,[7]
KIAA0040,8,0.13114754098360656,[7]
WHSC1,11,0.13095238095238096,[7]
PKMYT1,9,0.13043478260869565,[7]
NLRP2,6,0.13043478260869565,[7]
GPR85,4,0.12903225806451613,[7]
APOL1,4,0.12903225806451613,[7]
MASTL,5,0.1282051282051282,[7]
MSI1,5,0.1282051282051282,[7]
ZNF519,12,0.1276595744680851,[7]
ADAMTS1,10,0.125,[7]
TRIO,9,0.125,[7]
NEMP1,7,0.125,[7]
TTC21B,6,0.125,[7]
KDELC1,6,0.125,[7]
SLC2A8,5,0.125,[7]
LRRC6,4,0.125,[7]
TBC1D12,4,0.125,[7]
ARHGAP11B,4,0.125,[7]
PLEKHG4,4,0.125,[7]
ADAMTS18,3,0.125,[7]
ARVCF,3,0.125,[7]
CH507-254M2.3,3,0.125,[7]
MNS1,14,0.12389380530973451,[7]
MIIP,10,0.12345679012345678,[7]
C17orf58,10,0.12345679012345678,[7]
FAM13B,9,0.1232876712328767,[7]
MAML3,6,0.12244897959183673,[7]
EMC9,22,0.12222222222222222,[7]
BLM,5,0.12195121951219512,[7]
MBP,5,0.12195121951219512,[7]
B3GNT5,8,0.12121212121212122,[7]
MDH1B,4,0.12121212121212122,[7]
FANCD2,9,0.12,[7]
PMS2,9,0.12,[7]
RAP2A,6,0.12,[7]
BORCS6,3,0.12,[7]
PRR3,14,0.11965811965811966,[7]
TET2,5,0.11904761904761904,[7]
DIAPH3,5,0.11904761904761904,[7]
FOXA2,5,0.11904761904761904,[7]
SETD1B,6,0.11764705882352941,[7]
C2orf44,4,0.11764705882352941,[7]
SGOL1,13,0.11711711711711711,[7]
ZNF688,11,0.11702127659574468,[7]
POLR3B,5,0.11627906976744186,[7]
DIS3L,5,0.11627906976744186,[7]
CTPS1,6,0.11538461538461539,[7]
